Slug	Name	Dimension	Granularity	Function_name	Formalization_latex	Formalization_fp	Description_fp
expected-unwanted-activity-instance-count-q-g	Expected Unwanted activity Instance count	Q	G	\(\mathit{e}\mathit{UIC}(g)\)	\(\frac{\mathit{UIC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{UIC}(g)}{\mathit{C}(g)}\)	"\(\mathit{UIC}(g)\) returns the total unwanted activity instance count for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-unwanted-activity-instance-percentage-q-g	Expected Unwanted activity Instance Percentage	Q	G	\(\mathit{e}\mathit{UIP}(g)\)	\(\frac{\sum _{c \in g} \mathit{UIP}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{UIP}(c)}{\mathit{C}(g)}\)	"\(\mathit{UIP}(c)\) returns the unwanted activity instance percentage for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-unwanted-activity-percentage-q-g	Expected Unwanted Activity Percentage	Q	G	\(\mathit{e}\mathit{UAP}(g)\)	\(\frac{\sum _{c \in g} \mathit{UAP}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{UAP}(c)}{\mathit{C}(g)}\)	"\(\mathit{UAP}(c)\) returns the unwanted activity percentage for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-variable-cost-c-g	Expected Variable Cost	C	G	"\(\mathit{e}\mathit{VC}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{VC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{VC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{VC}\mathit{^{sum}}$."	\(\frac{\mathit{VC}(g)}{\mathit{C}(g)}\)	"\(\mathit{VC}(g)\) returns the total variable cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-waiting-time-t-g	Expected Waiting Time	T	G	\(\mathit{e}\mathit{WT}(g)\)	\(\frac{\sum _{c \in g} \mathit{WT}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{WT}(c)}{\mathit{C}(g)}\)	"\(\mathit{WT}(c)\) returns the total waiting time of case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-waiting-time-from-activity-a-to-activity-b-t-g	Expected Waiting Time from activity A to activity B	T	G	"\(\mathit{e}\mathit{WTAB}\mathit{^{\times}}(g, \mathit{a}, \mathit{b})\)
\newline \newline \(\mathit{\times} \in \{\mathit{s}, \mathit{c}, \mathit{sc}, \mathit{w}\}\)"	"\(\frac{\sum _{c \in g} \begin{cases}
\mathit{WTAB}\mathit{^{\times}}(c, \mathit{a}, \mathit{b}) & \mathit{if \ } \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) \neq \emptyset \\ 0 & \mathit{if \ } \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) = \emptyset
\end{cases}}{|\{c \in g \mid \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) \neq \emptyset\}|}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{s}, \mathit{c}, \mathit{sc}, \mathit{w}\}$. If $\mathit{\times} = \mathit{s}$, then the function considers activity instances that were started within the start and end activity instances, i.e., it uses $\mathit{WTAB}\mathit{^{s}}$; if $\mathit{\times} = \mathit{c}$, then the function considers activity instances that were completed within the start and end activity instances, i.e., it uses $\mathit{WTAB}\mathit{^{c}}$; if $\mathit{\times} = \mathit{sc}$, then the function considers activity instances that were either started or completed within the start and end activity instances, i.e., it uses $\mathit{WTAB}\mathit{^{sc}}$; if $\mathit{\times} = \mathit{^{w}}$, then the function considers all activity instances that were active within the start and end activity instances, i.e., it uses $\mathit{WTAB}\mathit{^{w}}$."	"\(\displaystyle \frac{\sum _{c \in g} \begin{cases}
\mathit{WTAB}(c, \mathit{a}, \mathit{b}) & \mathit{if \ } \mathit{fi}(c, \mathit{a}, \mathit{b}) \neq \emptyset \\
0 & \mathit{if \ } \mathit{fi}(c, \mathit{a}, \mathit{b}) = \emptyset
\end{cases}}{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{fi}(c, \mathit{a}, \mathit{b}) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)"	"\(\mathit{WTAB}\) returns the waiting time from activity \(\mathit{a}\) to activity \(\mathit{b}\) in case \(c\).
\newline \(\mathit{fi}\) returns the set of first instances of activity \(\mathit{b}\) that occur after the first instance of \(\mathit{a}\) in case \(c\). \\"
expected-warehousing-cost-c-g	Expected Warehousing Cost	C	G	\(\mathit{e}\mathit{WareC}(g)\)	\(\frac{\mathit{WareC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{WareC}(g)}{\mathit{C}(g)}\)	"\(\mathit{WareC}(g)\) returns the total warehousing cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
fixed-cost-activity-granularity-c-a	Fixed Cost (activity granularity)	C	A	"\(\mathit{FC}\mathit{^{\times}}(a)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(a)} \mathit{FC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(a)} \mathit{FC}(i)\)	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{FC}(i)\) returns the fixed cost of activity instance \(i\). \\"
fixed-cost-case-granularity-c-c	Fixed Cost (case granularity)	C	C	"\(\mathit{FC}\mathit{^{\times}}(c)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(c)} \mathit{FC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c)} \mathit{FC}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{FC}(i)\) returns the fixed cost of activity instance \(i\). \\"
fixed-cost-group-of-cases-granularity-c-g	Fixed Cost (group of cases granularity)	C	G	"\(\mathit{FC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in g} \mathit{FC}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{FC}\mathit{^{sum}}$."	\(\sum _{c \in g} \mathit{FC}(c)\)	\(\mathit{FC}(c)\) returns the fixed cost for case \(c\). \\
fixed-cost-considering-single-events-of-activity-instances-activity-instance-granularity-c-i	Fixed Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{FC}\mathit{^{sgl}}(i)\)	"\(\begin{cases}
\#^{}_{\mathit{fc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) \neq \bot \\
\#^{}_{\mathit{fc}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) = \bot \land \#^{}_{\mathit{fc}}(\mathit{str}(i)) \neq \bot \\
\bot & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) = \bot \land \#^{}_{\mathit{fc}}(\mathit{str}(i)) = \bot \\
\end{cases}\)"	\(\begin{cases} \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) \neq undefined \\ \#^{}_{\mathit{fc}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{fc}}(\mathit{str}(i)) \neq undefined \\ undefined & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{fc}}(\mathit{str}(i)) = undefined \\ \end{cases}\)	"\(\#^{}_{\mathit{fc}}\) returns the fixed cost associated with an event.
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str}(i)\) returns the start event of activity instance \(i\). \\"
fixed-cost-considering-the-sum-of-all-events-of-activity-instances-activity-instance-granularity-c-i	Fixed Cost considering the sum of all events of activity instances (activity instance granularity)	C	I	\(\mathit{FC}\mathit{^{sum}}(i)\)	"\(\begin{cases}
\#^{}_{\mathit{fc}}(\mathit{str}(i)) + & \\ \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) \neq \bot \land \#^{}_{\mathit{fc}}(\mathit{str}(i)) \neq \bot \\
\bot & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) = \bot \lor \#^{}_{\mathit{fc}}(\mathit{str}(i)) = \bot \\
\end{cases}\)"	\(\begin{cases} \#^{}_{\mathit{fc}}(\mathit{str}(i)) + & \\ \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) \neq undefined \land \#^{}_{\mathit{fc}}(\mathit{str}(i)) \neq undefined \\ undefined & \mathit{if \ } \#^{}_{\mathit{fc}}(\mathit{cpl}(i)) = undefined \lor \#^{}_{\mathit{fc}}(\mathit{str}(i)) = undefined \\ \end{cases}\)	"\(\#^{}_{\mathit{fc}}\) returns the fixed cost associated with an event.
\newline \(\mathit{str}(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\). \\"
handover-count-case-granularity-t-c	Handover count (case granularity)	T	C	\(\mathit{H}(c)\)	\(\sum _{i \in \mathit{inst}(c)} \mathit{dres}(i)\)	\(\sum_{i \in \mathit{inst}(c)} \mathit{dres}(i)\)	"Here, \(\mathit{inst}(c)\) is the set of activity instances in case \(c\), \newline \(\mathit{dres}(i)\) returns the number of distinct resources involved in the execution of activity instance \(i\). 
\newline The formula sums these values to obtain the total handovers in case \(c\). \\"
human-resource-and-case-count-ratio-group-of-cases-granularity-c-g	Human Resource and Case count Ratio (group of cases granularity)	C	G	\(\mathit{HRCR}(g)\)	\(\frac{\mathit{HR}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{HR}(g)}{\mathit{C}(g)}\)	"\(\mathit{HR}(g)\) returns the number of unique human resources involved in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
human-resource-count-activity-granularity-c-a	Human Resource count (activity granularity)	C	A	\(\mathit{HR}(a)\)	\(|\mathit{hres}(a)|\)	\(\mathit{count}(\mathit{hres}(a))\)	$\mathit{hres}(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
human-resource-count-case-granularity-c-c	Human Resource count (case granularity)	C	C	\(\mathit{HR}(c)\)	\(|\mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(c))\)	$\mathit{hres}(c)$ returns the set of human resources that work in case $c$. \\
human-resource-count-group-of-cases-granularity-c-g	Human Resource count (group of cases granularity)	C	G	\(\mathit{HR}(g)\)	\(|\cup_{c \in g} \mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(g))\)	$\mathit{hres}(g)$ returns the set of human resources that work in group of cases $g$. \\
human-resource-count-activity-granularity-f-a	Human Resource count (activity granularity)	F	A	\(\mathit{HR}(a)\)	\(|\mathit{hres}(a)|\)	\(\mathit{count}(\mathit{hres}(a))\)	$\mathit{hres}(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
human-resource-count-case-granularity-f-c	Human Resource count (case granularity)	F	C	\(\mathit{HR}(c)\)	\(|\mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(c))\)	$\mathit{hres}(c)$ returns the set of human resources that work in case $c$. \\
human-resource-count-group-of-cases-granularity-f-g	Human Resource count (group of cases granularity)	F	G	\(\mathit{HR}(g)\)	\(|\cup_{c \in g} \mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(g))\)	$\mathit{hres}(g)$ returns the set of human resources that work in group of cases $g$. \\
human-resource-count-activity-granularity-g-a	Human Resource count (activity granularity)	G	A	\(\mathit{HR}(a)\)	\(|\mathit{hres}(a)|\)	\(\mathit{count}(\mathit{hres}(a))\)	$\mathit{hres}(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
human-resource-count-case-granularity-g-c	Human Resource count (case granularity)	G	C	\(\mathit{HR}(c)\)	\(|\mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(c))\)	$\mathit{hres}(c)$ returns the set of human resources that work in case $c$. \\
human-resource-count-group-of-cases-granularity-g-g	Human Resource count (group of cases granularity)	G	G	\(\mathit{HR}(g)\)	\(|\cup_{c \in g} \mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(g))\)	$\mathit{hres}(g)$ returns the set of human resources that work in group of cases $g$. \\
human-resource-count-activity-granularity-q-a	Human Resource count (activity granularity)	Q	A	\(\mathit{HR}(a)\)	\(|\mathit{hres}(a)|\)	\(\mathit{count}(\mathit{hres}(a))\)	$\mathit{hres}(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
human-resource-count-case-granularity-q-c	Human Resource count (case granularity)	Q	C	\(\mathit{HR}(c)\)	\(|\mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(c))\)	$\mathit{hres}(c)$ returns the set of human resources that work in case $c$. \\
human-resource-count-group-of-cases-granularity-q-g	Human Resource count (group of cases granularity)	Q	G	\(\mathit{HR}(g)\)	\(|\cup_{c \in g} \mathit{hres}(c)|\)	\(\mathit{count}(\mathit{hres}(g))\)	$\mathit{hres}(g)$ returns the set of human resources that work in group of cases $g$. \\
idle-time-case-granularity-t-c	Idle Time (case granularity)	T	C	\(\mathit{IT}(c)\)	"\(\sum _{i \in \mathit{inst}(c)} \begin{cases}
\frac{\mathit{WT}(i)}{|\mathit{concstr}(i)|} & \mathit{if \ } \mathit{prevstr}(i) = \emptyset \\
0 & \mathit{if \ } \mathit{prevstr}(i) \neq \emptyset
\end{cases}\)"	"\(\sum_{i \in \mathit{inst}(c)} 
\begin{cases}
\frac{\mathit{WT}(i)}{|\mathit{concstr}(i)|} & \text{if } \mathit{prevstr}(i) = \emptyset \\
0 & \text{if } \mathit{prevstr}(i) \neq \emptyset
\end{cases}\)"	"$\mathit{inst}(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{WT}(i)$ returns the waiting time of activity instance $i$.
\newline $\mathit{concstr}(i)$ returns the set of concurrent structures (parallel branches) related to instance $i$.
\newline $\mathit{prevstr}(i)$ returns the preceding structure of activity instance $i$.\\"
inventory-cost-activity-granularity-c-a	Inventory Cost (activity granularity)	C	A	"\(\mathit{IC}\mathit{^{\times}}(a)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(a)} \mathit{IC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{IC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{IC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(a)} \mathit{IC}(i)\)	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{IC}(i)\) returns the inventory cost of activity instance \(i\). \\"
inventory-cost-case-granularity-c-c	Inventory Cost (case granularity)	C	C	"\(\mathit{IC}\mathit{^{\times}}(c)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(c)} \mathit{IC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{IC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{IC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c)} \mathit{IC}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{IC}(i)\) returns the inventory cost of activity instance \(i\). \\"
inventory-cost-group-of-cases-granularity-c-g	Inventory Cost (group of cases granularity)	C	G	"\(\mathit{IC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in g} \mathit{IC}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{IC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{IC}\mathit{^{sum}}$."	\(\sum _{c \in g} \mathit{IC}(c)\)	\(\mathit{IC}(c)\) returns the inventory cost for case \(c\). \\
inventory-cost-considering-single-events-of-activity-instances-activity-instance-granularity-c-i	Inventory Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{IC}\mathit{^{sgl}}(i)\)	"\(\begin{cases}
\#^{}_{\mathit{ic}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{ic}}(\mathit{cpl}(i)) \neq \bot \\
\#^{}_{\mathit{ic}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{ic}}(\mathit{cpl}(i)) = \bot \land \#^{}_{\mathit{ic}}(\mathit{str}(i)) \neq \bot \\
\bot & \mathit{if \ } \#^{}_{\mathit{ic}}(\mathit{cpl}(i)) = \bot \land \#^{}_{\mathit{ic}}(\mathit{str}(i)) = \bot \\
\end{cases}\)"	\(\begin{cases} \#^{}_{\mathit{ic}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{ic}}(\mathit{cpl}(i)) \neq undefined \\ \#^{}_{\mathit{ic}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{ic}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{ic}}(\mathit{str}(i)) \neq undefined \\ undefined & \mathit{if \ } \#^{}_{\mathit{ic}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{ic}}(\mathit{str}(i)) = undefined \\ \end{cases}\)	"\(\#^{}_{\mathit{ic}}\) returns the inventory cost associated with an event.
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str}(i)\) returns the start event of activity instance \(i\). \\"
